"__uid","__parent_uid","language_code","language_name","language_alternateNames","language_dialects","language_status","language_notes","__display_name","language_code2","language_printName","__record_type","language_openTypeTags","language_sortName","language_retired","language_inEthnologue","language_subjectTabFlags","language_localNames"
"4b4gfea827","","aaa","Ghotuo","Otuo, Otwa","","L","","Ghotuo [aaa]","","Ghotuo","micro","","Ghotuo","","1","83",""
"f4eb369eef","","aab","Arum","Alomo-Atesu, Alumu, Alumu-Tesu, Arum-Cesu, Arum-Chessu, Arum-Tesu, Təsu","","L","","Arum [aab]","","Arum","micro","","Arum","","1","67",""
"efahbd449h","","aac","Ari","","","L","","Ari [aac]","","Ari","micro","","Ari","","1","67",""
"gg6d235gad","","aad","Amal","Alai","","L","","Amal [aad]","","Amal","micro","","Amal","","1","67",""
"425ga55bd3","","aae","Albanian, Arbëreshë","Albanian, Arbereshe, Arbëreshë, Arbërisht, Arbërishtja, Gjegje, Tarbrisht","","L","","Albanian, Arbëreshë [aae]","","Arbëreshë Albanian","micro","","Albanian, ArbEreshE","","1","83","Tarbrisht"
"6dadaf389h","","aaf","Aranadan","Aranatan, Arnatas, Eranadans","","L","","Aranadan [aaf]","","Aranadan","micro","","Aranadan","","1","67",""
"e48cafc5d5","","aag","Ambrak","","","L","","Ambrak [aag]","","Ambrak","micro","","Ambrak","","1","67",""
"5ge77ae5c9","","aai","Miniafia Oyan","Arifama-Miniafia, Miniafia, Miniafia-Arifama","","L","","Miniafia Oyan [aai]","","Miniafia Oyan","micro","","Miniafia Oyan","","1","83","Miniafia"
"87gcdbb35g","","aak","Ankave","Aga pɨ’ne’, Angave, Ankave-Anga","","L","","Ankave [aak]","","Ankave","micro","","Ankave","","1","87","Aga pɨ'ne'"
"ccfggfe2c5","","aal","Afade","Afada, Afadee, Afadeh, Afaɗә, Affade, Kotoko, Mandagué, Mogari","","L","","Afade [aal]","","Afade","micro","","Afade","","1","83",""
"98732ga5hd","","aam","Aramanik","Laramanik (""Dorobo"", ""Ndorobo"")","","R","","Aramanik [aam]","","Aramanik","micro","","Aramanik","It has been merged with {link:page.php?item_id=language_detail&key=aas aas}.","1","64",""
"b9e3a8f43b","","aan","Anambé","","","L","","Anambé [aan]","","Anambé","micro","","AnambE","","1","67",""
"8h279b8a62","","aao","Arabic, Algerian Saharan Spoken","Algerian Saharan Arabic, Saharan Arabic, Tamanghasset Arabic, Tamanrasset Arabic","","L","","Arabic, Algerian Saharan Spoken [aao]","","Algerian Saharan Spoken Arabic","micro","","Arabic, Algerian Saharan Spoken","","1","83",""
"62gage5aba","","aap","Arára, Pará","Arára Bravos, Pará Arára, Ukarãngmã","","L","","Arára, Pará [aap]","","Pará Arára","micro","","ArAra, ParA","","1","67","Ukarãngmã"
"9b96424hhb","","aaq","Abenaki, Eastern","Abenaki, Alnombak, Alnôbak, Eastern Abnaki, Wawenock","","X","","Abenaki, Eastern [aaq]","","Eastern Abenaki","micro","","Abenaki, Eastern","","1","67",""
"3f3a6c5864","","aar","Afar","","","L","","Afar [aar]","aa","Afar","micro","AFR","Afar","","1","83","Qafar af"
"7ce6a2cbhd","","aas","Aasáx","Aasá, Aramanik, Asak, Asax, Assa, Asá, Laramanik","","L","","Aasáx [aas]","","Aasáx","micro","","AasAx","","1","67",""
"h798g82cd5","","aat","Albanian, Arvanitika","Arberichte, Arbërisht, Arvanitic, Arvanitika, Arvanitika Albanian","","L","","Albanian, Arvanitika [aat]","","Arvanitika Albanian","micro","","Albanian, Arvanitika","","1","83","αρbε̰ρίσ̈τ"
"d99d2gab9e","","aau","Abau","Green River","","L","","Abau [aau]","","Abau","micro","","Abau","","1","83","Abau"
"e425a686cg","","aaw","Solong","Arawe, Arove, Pililo","","L","","Solong [aaw]","","Solong","micro","","Solong","","1","67","Solong"
"38a5e4ee78","","aax","Mandobo Atas","Dumut, Kambon, Kwem, Mandobbo, Nub, Wambon","","L","","Mandobo Atas [aax]","","Mandobo Atas","micro","","Mandobo Atas","","1","67",""
"7a2535c5bg","","aay","Aariya","","","R","","Aariya [aay]","","Aariya","micro","","Aariya","The language is nonexistent.","0","64",""
"g788g3f636","","aaz","Amarasi","Timor Amarasi, Uab Meto","","L","","Amarasi [aaz]","","Amarasi","micro","","Amarasi","","1","83","Amarasi"
"bh4dd8a5be","","aba","Abé","Abbey, Abbé, Abi","","L","","Abé [aba]","","Abé","micro","","AbE","","1","67",""
"468ddh7a8d","","abb","Bankon","Abaw, Abo, Bo, Bon","","L","","Bankon [abb]","","Bankon","micro","","Bankon","","1","83",""
"a377787583","","abc","Ayta, Ambala","Ambala Agta, Ambala Ayta, Ambala Sambal, Ayta Ambala","","L","","Ayta, Ambala [abc]","","Ambala Ayta","micro","","Ayta, Ambala","","1","83","Ayta Ambala"
"69e74d957g","","abd","Manide","Abiyan, Agta, Camarinas Norte Agta","","L","","Manide [abd]","","Manide","micro","","Manide","","1","67",""
"25g7de2ab2","","abe","Abenaki, Western","Abenaki, Abenaqui, Alnombak, Alnôbak, Saint Francis, Western Abnaki","","L","","Abenaki, Western [abe]","","Western Abenaki","micro","","Abenaki, Western","","1","83","Alnôbak"
"65484cfh93","","abf","Abai Sungai","","","L","","Abai Sungai [abf]","","Abai Sungai","micro","","Abai Sungai","","1","67",""
"8622h25f64","","abg","Wagama","Abaga, Vaga, Wagaba","","L","","Wagama [abg]","","Wagama","micro","","Wagama","","1","67",""
"72f6he2h7b","","abh","Arabic, Tajiki Spoken","Arabi, Bukhara Arabic, Buxara Arabic, Central Asian, Jugari, Tajiki Arabic","","L","","Arabic, Tajiki Spoken [abh]","","Tajiki Spoken Arabic","micro","","Arabic, Tajiki Spoken","","1","83",""
"f3bb24589c","","abi","Abidji","Abiji","","L","","Abidji [abi]","","Abidji","micro","","Abidji","","1","67",""
"7dhga3feb3","","abj","Aka-Bea","Aka-Beada, Aka-Biada, Bea, Beada, Biada, Bogijiab, Bojigiyab, Bojigniji, Bojigyab","","X","","Aka-Bea [abj]","","Aka-Bea","micro","","Aka-Bea","","1","67",""
"4f9428726h","","abk","Abkhaz","Abkhazian, Abxazo","","L","","Abkhaz [abk]","ab","Abkhaz","micro","ABK","Abkhaz","","1","67","аҧсуа бызшәа, аҧсшәа"
"8cg7f4a7h7","","abl","Lampung Nyo","Abung, Lampong","","L","","Lampung Nyo [abl]","","Lampung Nyo","micro","","Lampung Nyo","","1","67",""
"86f3b539g7","","abm","Abanyom","Abanyum, Bakor, Befun, Bofon, Mbofon","","L","","Abanyom [abm]","","Abanyom","micro","","Abanyom","","1","67",""
"e946dcccch","","abn","Abua","Abuan","","L","","Abua [abn]","","Abua","micro","","Abua","","1","83","Abuan"
"9hffd5537c","","abo","Abon","Abong, Abõ, Ba’ban","","L","","Abon [abo]","","Abon","micro","","Abon","","1","67",""
"9e7dd9cfhg","","abp","Ayta, Abellen","Abellen, Abellen Ayta, Abenlen, Aburlen Negrito, Aburlin, Ayta Abellen, Ayta Abellen Sambal","","L","","Ayta, Abellen [abp]","","Abellen Ayta","micro","","Ayta, Abellen","","1","83","Abellen, Ayta Abellen"
"483388adcd","","abq","Abaza","Abazin, Abazintsy, Ahuwa, Ashuwa","","L","","Abaza [abq]","","Abaza","micro","ABA","Abaza","","1","67","абаза, абаза бызшва"
"f568278dba","","abr","Abron","Bron, Brong, Doma, Gyaman","","L","","Abron [abr]","","Abron","micro","","Abron","","1","67",""
"a839b97696","","abs","Malay, Ambonese","Ambon Malay, Ambonese, Ambonese Malay, Ambong, Bahasa Ambon, Bahasa Melaju Ambon, Bahasa Melayu Ambon, Malayu Ambon, Malayu Ambong, Moluccan (Maluku) Malay","","L","","Malay, Ambonese [abs]","","Ambonese Malay","micro","","Malay, Ambonese","","1","67","Malayu Ambong"
"99ef5455eb","","abt","Ambulas","Abelam, Abulas, Ambulas - Wosera Kamu","","L","","Ambulas [abt]","","Ambulas","micro","","Ambulas","","1","83","Abulas"
"da99g3ddc2","","abu","Abure","Abonwa, Abouré, Abule, Akaplass, Ehie, Eyive, Obule oyve, Ossouon, ɔbule ɔyʋɛ","","L","","Abure [abu]","","Abure","micro","","Abure","","1","67","ɔbule ɔyʋɛ"
"a5d8c29hc2","","abv","Arabic, Baharna Spoken","Baharna, Baharna Arabic, Baharnah, Bahraini Arabic, Bahraini Shi’ite Arabic, Bahrani, Bahrani Arabic","","L","","Arabic, Baharna Spoken [abv]","","Baharna Spoken Arabic","micro","","Arabic, Baharna Spoken","","1","83","البحرانية"
"2df4gc7923","","abw","Pal","Abasakur","","L","","Pal [abw]","","Pal","micro","","Pal","","1","67",""
"3g2gc7eh4a","","abx","Inabaknon","Abaknon, Abaknon Sama, Capuleño, Kapul, Sama, Sama Abaknon","","L","","Inabaknon [abx]","","Inabaknon","micro","","Inabaknon","","1","83","Inabaknon"
"bd52hh32bf","","aby","Aneme Wake","Abia, Abie","","L","","Aneme Wake [aby]","","Aneme Wake","micro","","Aneme Wake","","1","83",""
"ac849g8d22","","abz","Abui","Barue, Namatalaki","","L","","Abui [abz]","","Abui","micro","","Abui","","1","67",""
"7dh6ehcf2e","","aca","Achagua","Ajagua, Xagua","","L","","Achagua [aca]","","Achagua","micro","","Achagua","","1","83",""
"a77bdda578","","acb","Áncá","Bunta","","L","","Áncá [acb]","","Áncá","micro","","AncA","","1","67",""
"g5595ea6ge","","acc","Cubulco Achí","","","R","","Cubulco Achí [acc]","","Cubulco Achí","micro","","Cubulco AchI","It has been merged with {link:page.php?item_id=language_detail&key=acr acr}.","0","64",""
"d2aa273g6c","","acd","Gikyode","Achode, Akyode, Chode, Gichode, Kyode","","L","","Gikyode [acd]","","Gikyode","micro","","Gikyode","","1","83","Gikyode"
"32946aeb3d","","ace","Aceh","Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh","","L","","Aceh [ace]","","Aceh","micro","","Aceh","","1","83","Aceh, Bahsa Acèh"
"a3623ehg8d","","acf","Lesser Antillean French Creole","Créole, Dominican Creole French, French Creole, French-lexicon Creole, French-lexified Creole, Kwèyòl, Kwéyòl, Patois, Patwa, Saint Lucian Creole French","","L","","Lesser Antillean French Creole [acf]","","Lesser Antillean French Creole","micro","FAN","Lesser Antillean French Creole","","1","83","Kwéyòl"
"bcda2daa23","","ach","Acholi","Acoli, Acooli, Akoli, Atscholi, Dok Acoli, Gang, Log Acoli, Lwo, Lwoo, Lëbacoli, Shuli","","L","","Acholi [ach]","","Acholi","micro","","Acholi","","1","83","Acholi"
"6ehcd8eb9c","","aci","Aka-Cari","Akacari, Cari, Chari, Chariar, Sare","","X","","Aka-Cari [aci]","","Aka-Cari","micro","","Aka-Cari","","1","67",""
"ddha33ce2f","","ack","Aka-Kora","Kora","","X","","Aka-Kora [ack]","","Aka-Kora","micro","","Aka-Kora","","1","67",""
"46edc2ahc9","","acl","Akar-Bale","Balawa, Bale, Balwa","","X","","Akar-Bale [acl]","","Akar-Bale","micro","","Akar-Bale","","1","67",""
"8afhe95aa7","","acm","Arabic, Mesopotamian Spoken","Arabi, Arabic, Baghdadi, Furati, Iraqi Arabic, Mesopotamian Arabic, Mesopotamian Gelet Arabic, North Syrian Arabic","","L","","Arabic, Mesopotamian Spoken [acm]","","Mesopotamian Spoken Arabic","micro","","Arabic, Mesopotamian Spoken","","1","83","اللهجة العراقية"
"c287f83579","","acn","Achang","Acang, Achung, Ach’ang, Ahchan, Anchan, Atsang, Chung, Lawng, Longchuan Achang, Maingtha, Manmaw, Mönghsa, Ngacang, Ngachang, Ngac’ang, Ngatsang, Ngo Chang, Ngochang, Ngoqchangh, Tai Sa’, Xiandao","","L","","Achang [acn]","","Achang","micro","","Achang","","1","67","Ngachang"
"9dhdba2hgf","","acp","Acipa, Eastern","Achipa, Acipanci, Eastern Acipa, Səgəmuk, Zubazuba","","L","","Acipa, Eastern [acp]","","Eastern Acipa","micro","","Acipa, Eastern","","1","67",""
"7h4hhf9fgf","","acq","Arabic, Ta’izzi-Adeni Spoken","Djibouti Arabic, Southern Yemeni Spoken Arabic, Ta'izzi-Adeni Arabic","","L","","Arabic, Ta’izzi-Adeni Spoken [acq]","","Ta’izzi-Adeni Spoken Arabic","micro","","Arabic, Ta’izzi-Adeni Spoken","","1","83",""
"bcedc72c8b","","acr","Achi","Achi - Rabinal, Qach’a’teem","","L","","Achi [acr]","","Achi","micro","","Achi","","1","83","Qach'a'teem"
"bdb49g379b","","acs","Acroá","Coroá","","X","","Acroá [acs]","","Acroá","micro","","AcroA","","1","67",""
"b3bggcgff6","","act","Achterhoeks","Aachterhoeks, Achterhoek, Achterhooks, Winterwiek","","L","","Achterhoeks [act]","","Achterhoeks","micro","","Achterhoeks","","1","83","Achterhooks"
"h84g96e2fb","","acu","Achuar-Shiwiar","Achiar chícham, Achual, Achuale, Achuar, Achuar-Shiviar, Achuar-Shiwiara, Achuara, Achuare, Achuár chícham, Ashuar, Atchuara, Jivaro, Maina, Áints","","L","","Achuar-Shiwiar [acu]","","Achuar-Shiwiar","micro","","Achuar-Shiwiar","","1","83","Achuár chícham"
"7448dg6bg8","","acv","Achumawi","Achomawi, Pitt River","","L","","Achumawi [acv]","","Achumawi","micro","","Achumawi","","1","83",""
"82dfe2h6b5","","acw","Arabic, Hijazi Spoken","Hejazi Arabic, Hijazi Arabic, Rashaida, Rashida, West Arabian Colloquial Arabic","","L","","Arabic, Hijazi Spoken [acw]","","Hijazi Spoken Arabic","micro","","Arabic, Hijazi Spoken","","1","83",""
"deh5hdb564","","acx","Arabic, Omani Spoken","Omani Arabic, Omani Hadari Arabic","","L","","Arabic, Omani Spoken [acx]","","Omani Spoken Arabic","micro","","Arabic, Omani Spoken","","1","83","عماني"
"832f45658f","","acy","Arabic, Cypriot Spoken","Cypriot Arabic, Cypriot Maronite Arabic, Kormakiti, Maronite, Sanna","","L","","Arabic, Cypriot Spoken [acy]","","Cypriot Spoken Arabic","micro","","Arabic, Cypriot Spoken","","1","83","Sanna"
"73g28475b7","","acz","Acheron","Aceron, Achurun, Asheron, Garme","","L","","Acheron [acz]","","Acheron","micro","","Acheron","","1","67","Garme"
"f77fdbd8ah","","ada","Dangme","Adangme, Adaŋgbi","","L","","Dangme [ada]","","Dangme","micro","DNG","Dangme","","1","83","Dangme"
"4gebc98f48","","adb","Atauran","Adabe, Ataura, Atauro, Atauru, Raklu Un, Raklu-Un","","L","","Atauran [adb]","","Atauran","micro","","Atauran","","1","67",""
"692e7bb5ah","","add","Lidzonka","Adere, Adiri, Arderi, Dzodinka, Dzodzinka","","L","","Lidzonka [add]","","Lidzonka","micro","","Lidzonka","","1","83","Lidzonka"
