"__uid","__parent_uid","script_name","script_code","script_type","script_family","script_direction","script_baseline","script_whiteSpace","script_features","script_typicalFont","script_alternateNames","script_numericCode","script_casing","script_diacritics","script_contextualForms","script_complexPos","script_reordering","script_splitGraphs","script_ligatures","script_sample","__display_name","script_displayCode","script_openTypeTags","script_status","script_numericCodePlus","script_sortName","script_shortName","script_subjectTabFlags"
"h7ehggh723","","Arabic","Arab","abjad","Middle Eastern","RTL bidirectional","bottom","between words","","","","160","no","yes","yes","yes","[unknown]","no","required","a:8:{s:9:""file_name"";s:15:""Arabic-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:91:""From the Universal Declaration of Human Rights in Arabic. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Arabic [Arab]","Arab","arab","Current","160 (right-to-left alphabetic)","Arabic","Arabic script, Naskh variant","127"
"6a6eac2gc5","","Imperial Aramaic","Armi","abjad","Middle Eastern","RTL","bottom","discretionary","","","","124","no","no","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:63:""Incantation_bowl_with_Aramaic_script_Pergamon_Museum_sample.jpg"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:53:""Detail from incantation bowl with Aramaic inscription"";s:6:""author"";s:47:""Osama Shukir Muhammed Amin  (see Use & History)"";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Imperial Aramaic [Armi]","Armi","armi","Historical","124 (right-to-left alphabetic)","Imperial Aramaic","Imperial Aramaic script","83"
"n52hsy7wyf","","Toto","Toto","alphabet","Indic","LTR","bottom","between words","[none specified]","","","294","no","yes","no","yes","yes","no","none","","Toto [Toto]","Toto","toto","Current","294 (left-to-right alphabetic)","Toto","Toto script","19"
"6bb69g7ff3","","Avestan","Avst","alphabet","Middle Eastern","RTL","bottom","discretionary","","","","134","no","yes","[unknown]","[unknown]","[unknown]","[unknown]","optional","a:8:{s:9:""file_name"";s:15:""avesta-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:81:""Excerpt from the Avesta scripture, Yasna 45.II. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Avestan [Avst]","Avst","avst","Historical","134 (right-to-left alphabetic)","Avestan","Avestan script","83"
"aggc6af8cc","","Balinese","Bali","abugida","Insular Southeast Asian","LTR","hanging","between words","","","","360","no","yes","yes","[unknown]","yes","yes","","a:8:{s:9:""file_name"";s:17:""Balinese-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Balinese [Bali]","Bali","bali","Current","360 (alphasyllabic)","Balinese","Balinese script","83"
"9977e6b49d","","Batak","Batk","abugida","Insular Southeast Asian","vertical (LTR) and horizontal (LTR)","bottom","none","","","","365","no","yes","no","[unknown]","[unknown]","[unknown]","none","a:8:{s:9:""file_name"";s:14:""batak-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:60:""An excerpt from John 3:16. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Batak [Batk]","Batk","batk","Current","365 (alphasyllabic)","Batak","Batak script","83"
"62h29ee962","","Bengali (Bangla)","Beng","abugida","Indic","LTR","hanging","between words","","","","325","no","yes","yes","yes","yes","yes","required","a:8:{s:9:""file_name"";s:16:""Bengali-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:92:""From the Universal Declaration of Human Rights in Bengali. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Bengali (Bangla) [Beng]","Beng","beng, bng2","Current","325 (alphasyllabic)","Bengali (Bangla)","Bengali script","123"
"6238fb4he9","","Blissymbols","Blis","logo-syllabary","Artificial","LTR","bottom","between words","","","","550","no","no","no","yes","no","no","none","a:8:{s:9:""file_name"";s:23:""Blissymboles_sample.JPG"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:21:""Various Bliss symbols"";s:6:""author"";s:15:""Charles K Bliss"";s:9:""copyright"";s:11:""24-Dec-2008"";s:5:""notes"";s:80:""CC-BY-SA licence: https://commons.wikimedia.org/wiki/File:Blissymbolesvaries.JPG"";}","Blissymbols [Blis]","Blis","","Historical","550 (ideographic)","Blissymbols","Blissymbols script","83"
"5ccc2egdb9","","Bopomofo","Bopo","syllabary","East Asian","LTR","bottom","between words","","","","285","no","[unknown]","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:17:""Bopomofo-crop.jpg"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:74:""Image from Flickr, by 'charlieargueta'. See Use and History subject area. "";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Bopomofo [Bopo]","Bopo","bopo","Current","285 (left-to-right alphabetic)","Bopomofo","Bopomofo script","83"
"bdd4f9hahc","","Brahmi","Brah","abugida","Indic","LTR","hanging","discretionary","","","","300","no","yes","yes","[unknown]","yes","[unknown]","required","a:8:{s:9:""file_name"";s:17:""Brahmi_sample.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:71:""Brahmi inscription on Paderia Pillar. Source: Epigraphia Indica Vol. V."";s:6:""author"";s:0:"""";s:9:""copyright"";s:15:""(Public domain)"";s:5:""notes"";s:0:"""";}","Brahmi [Brah]","Brah","brah","Historical","300 (alphasyllabic)","Brahmi","Brahmi script","91"
"267274f4bb","","Braille","Brai","alphabet","Artificial","LTR","bottom","discretionary","","","","570","no","no","no","no","no","no","[unspecified]","a:8:{s:9:""file_name"";s:16:""braille-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:69:""Excerpt from Ricci Downard's notes. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Braille [Brai]","Brai","brai","Current","570 (ideographic)","Braille","Braille script","83"
"82gb75fg4f","","Buginese","Bugi","abugida","Insular Southeast Asian","LTR","bottom","between phrases","","","","367","no","yes","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:14:""bugis-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:0:"""";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Buginese [Bugi]","Bugi","bugi","Current","367 (alphasyllabic)","Buginese","Buginese script","91"
