entrytype,entrysubtype,key,title,author,editor,sortname,journaltitle,booktitle,series,organization,presort,url,date,urldate,isbn,issn,publisher,location,pages,volume,number,keywords,addendum,abstract,annotation,SS Rec Type,SS UID,Link Text,Larger Work,ID,Type,Orig Date,,,,
online,f,aat,About Apple Advanced Typography Fonts - TrueType Reference Manual,,,,,,,,,https://developer.apple.com/fonts/TrueType-Reference-Manual/RM06/Chap6AATIntro.html,,2025-11-19,,,,,,,,fonts,,,,,,,Apple Developer,,,,,,,
inproceedings,,abba2015,Ajamization of Knowledge: The Kanuri Experience,Tahir Abba,,Abba,,Conference of Language and Identity in Africa,,,,https://www.academia.edu/21905366/Ajamization_of_Knowledge_The_Kanuri_Experience,2015-04-05,,,,Cairo University,Cairo,,,,"script-arab, lang-knc, lang-kau, lang-nup, lang-krt, lang-kby, lang-bms, lang-yor, lang-hau, lang-fuv",,"Ajami was the language of scholarship in Kanem Borno, through which religious knowledge is imparted to students.Therefore, Ajamization was in place even before the coming of the Europeans to the Kanem land. Ajami is not used for language of  scholarship and skill acquisition only but it serves enormous roles in adult education, political education as well as mass literacy in general. It also serves as a medium for integration of Qur'anic education into formal western type of education. So that  product of Qur'anic education can be elected into various political offices. They too can contribute in political administration and  governance of their nations. Against this backdrop, this paper reviews various Ajami writing system among the Kanuri speaking communities with a view to harmonise the divergent spellings and writing practices.","Paper presented at the Conference of Language and Identity in Africa: in the Light of the Current Variables, held at the Institute of African Research Studies, Cairo University, Egypt (5-6 April, 2015).",academic,zmxz82gyp7,,Conference of Language and Identity in Africa,,paper,2015-04-05,,,,
article,,abdelhadi2011,Perceptual load in the reading of Arabic: Effects of orthographic visual complexity on detection,Souad Abdelhadi and Raphiq Ibrahim and Zohar Eviatar,,Abdelhadi,Writing Systems Research,,,,,http://www.tandfonline.com/doi/abs/10.1093/wsr/wsr014,2011,,,,,,,3,2,"script-arab, lang-ara",,,"Previous research has suggested that reading Arabic is slower than reading Hebrew or English, even among native Arabic readers. The authors of this article tested the hypothesis that part of the difficulty in reading Arabic is due to the visual complexity of Arabic orthography. The findings support a perceptual load account of the source of processing difficulty in reading Arabic. In the article, the authors first explain some of the complexities of Arabic writing, then describe the methods they used to test their hypothesis, and finally discuss their findings. Please note that you need to either be a subscriber to this journal, or purchase short term access to this article, in order to read it.",journal,j4b2pf8fyy,Perceptual load in the reading of Arabic: Effects of orthographic visual complexity on detection,Writing Systems Research,,,2011,,,,
book,,abdullahi2011,A study of writing and development of Tafi: A new Nigerian writing,Musa D. Abdullahi,,Abdullahi,,,,,,,2011,,,,Fahimta Publishing Company,"Katsina, Nigeria",,,,script-qa18,,,"This book is written by the creator of the Tafi script. It describes his reason for inventing the script and the process he went through to do so, and provides a detailed explanation of how the script works.",book,gynk5m9g3a,,,,,2011,,,,
online,,adobe-open-source,Open Source - Adobe Fonts,,,,,,,,,https://fonts.adobe.com/foundries/open-source,,2025-11-19,,,,,,,,"fonts, font sources",,,,,,,,,,,,,,
online,f,adobe-type-tools,Adobe Type Tools,,,,,,,,,https://github.com/adobe-type-tools,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Github,,,,,,,
online,,aeo-hiero,Ancient Egyptian Hieroglyphics,,,,,,,Ancient Egypt Online,,http://www.ancient-egypt-online.com/ancient-egyptian-hieroglyphics.html,,2010-02-23,,,,,,,,script-egyp,,,,webpage,dpcbajr7hv,Ancient Egyptian Hieroglyphics,Ancient Egypt Online,,,Accessed 23 February 2010,,,,
online,f,afdko,Adobe Font Development Kit for OpenType,,,,,,,,,https://github.com/adobe-type-tools/afdko,,2025-11-19,,,,,,,,"fonts, font tools, opentype",,,,,,,Github,,,,,,,
online,f,agl,Adobe Glyph List Specification,,,,,,,,,https://github.com/adobe-type-tools/agl-specification,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Github,,,,,,,
online,f,agl-aglfn,AGL & AGLFN,,,,,,,,,https://github.com/adobe-type-tools/agl-aglfn,,2025-11-19,,,,,,,,"fonts, font tools",,,,,,,Github,,,,,,,
